,ID,Group,Sex,Age,Age_cat,r_to_all_adults,s_to_all_adults,r_to_group,r_to_adults,r_to_children,N_camps_w_kin,s_to_group,s_to_adults,N_camps_w_con_or_aff_kin
193,193,g,M,20,ADULT,0.012731481,0.026157407,0.126893939,0.140625,0.105769231,5,0.21780303,0.290625,6
194,194,g,F,19.358738,ADULT,0.003009259,0.003703704,0,0,0,2,0.03030303,0.05,6
195,195,g,M,19.194768,ADULT,0.012731481,0.024305556,0.126893939,0.140625,0.105769231,5,0.202651515,0.265625,NA
196,196,g,M,54.410743,ADULT,0.011950231,0.017708333,0.060606061,0.075,0.038461538,5,0.106060606,0.15,7
197,197,g,F,51.52168,ADULT,0.015277778,0.031018519,0.132575758,0.14375,0.115384615,4,0.223484848,0.29375,7
198,198,g,F,26,ADULT,0.015465856,0.026215278,0.111742424,0.134375,0.076923077,6,0.179924242,0.246875,NA
199,199,g,M,28,ADULT,0.015465856,0.026215278,0.111742424,0.134375,0.076923077,6,0.179924242,0.246875,NA
200,200,g,M,24.76414,ADULT,0.015465856,0.02806713,0.126893939,0.134375,0.115384615,6,0.210227273,0.271875,8
201,201,g,F,23.148638,ADULT,0.012109375,0.021643519,0.116595644,0.083789063,0.167067308,5,0.178030303,0.1875,8
202,202,g,F,3.403148528,CHILD,0.017426776,0.028453644,0.136896307,0.151506696,0.111328125,7,0.209280303,0.266369048,NA
203,203,g,F,1.2,CHILD,0.017426776,0.028453644,0.136896307,0.151506696,0.111328125,7,0.209280303,0.266369048,NA
204,204,g,M,47.40246,ADULT,0.012818287,0.022685185,0.139914773,0.109375,0.186899038,5,0.196969697,0.20625,8
205,205,g,F,47,ADULT,0.006597222,0.009259259,0.07907197,0.028125,0.157451923,5,0.106060606,0.075,8
206,206,g,M,20.42984257,ADULT,0.011559606,0.017824074,0.124644886,0.09375,0.172175481,6,0.166666667,0.165625,NA
207,207,g,F,13.27036277,CHILD,0.01336197,0.019603321,0.124644886,0.113095238,0.144856771,6,0.166666667,0.181547619,NA
208,208,g,M,8.43,CHILD,0.01336197,0.019603321,0.124644886,0.113095238,0.144856771,6,0.166666667,0.181547619,NA
209,209,g,F,6.74,CHILD,0.01336197,0.019603321,0.124644886,0.113095238,0.144856771,6,0.166666667,0.181547619,NA
210,210,g,M,2.2,CHILD,0.01336197,0.019603321,0.124644886,0.113095238,0.144856771,6,0.166666667,0.181547619,NA
211,211,g,M,65.459006,ADULT,0.007118056,0.008333333,0.060132576,0.04375,0.085336538,4,0.068181818,0.0625,NA
212,212,g,M,23,ADULT,0.012731481,0.026157407,0.134469697,0.140625,0.125,5,0.225378788,0.290625,8
213,213,g,F,21.181427,ADULT,0.015422454,0.016319444,0.068892045,0.040234375,0.112980769,5,0.090909091,0.096875,8
214,214,g,M,2.83,CHILD,0.01771506,0.024850092,0.116832386,0.13374256,0.087239583,6,0.173295455,0.232142857,NA
215,215,g,M,33.419264,ADULT,0.015422454,0.016319444,0.084043561,0.040234375,0.151442308,5,0.113636364,0.096875,8
216,216,g,F,27,ADULT,0.012731481,0.026157407,0.149621212,0.140625,0.163461538,5,0.240530303,0.290625,8
217,217,g,F,11.194817,CHILD,0.01771506,0.024850092,0.131983902,0.13374256,0.12890625,6,0.192234848,0.232142857,NA
